task_id,family,law,variant,mode,solver,replicate,role,condition,panel,sample_id,metrics
v3__S1__linearized_gaussian__0__combined__center_EEG__O1,S1,linearized_gaussian,combined,center_EEG,O1,0,,,,,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4348282212606996, ""bias_coordinate"": -0.008810234534556713}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.0474830343037714, ""bias_coordinate"": 0.0014602830811765914}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.1870463290416904, ""bias_coordinate"": 0.00030461048064107536}}"
v3__S1__linearized_gaussian__0__combined__center_EEG__O2,S1,linearized_gaussian,combined,center_EEG,O2,0,,,,,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4318015248072689, ""bias_coordinate"": -0.007164195555297243}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.04274839311301776, ""bias_coordinate"": 0.0011865081394997483}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.18573160658136192, ""bias_coordinate"": 0.00034539756782040625}}"
v3__S1__linearized_gaussian__0__combined__center_EEG__O2_pointwise,S1,linearized_gaussian,combined,center_EEG,O2_pointwise,0,,,,,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.6193506198371213, ""bias_coordinate"": -0.0015097128619264706}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.7346041479375406, ""bias_coordinate"": 0.02258249133059833}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.6068324022023891, ""bias_coordinate"": -0.003528508166769091}}"
v3__S1__linearized_gaussian__0__combined__center_EEG__O2_mean_only,S1,linearized_gaussian,combined,center_EEG,O2_mean_only,0,,,,,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.5957721712880752, ""bias_coordinate"": -0.024784853666172328}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.3102508981524957, ""bias_coordinate"": 0.012555503948299093}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.3154095750162272, ""bias_coordinate"": -0.0026885142067014428}}"
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O0,S1,linearized_gaussian,combined,center_fNIRS,O0,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.6191370693224435, ""bias_coordinate"": 0.0017324121954673038}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.7018950607792125, ""bias_coordinate"": 0.019397282458983405}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.5341684138595911, ""bias_coordinate"": -0.002418178710926991}}"
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O1,S1,linearized_gaussian,combined,center_fNIRS,O1,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4570617482603538, ""bias_coordinate"": -0.01110651662570918}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.06197201478998325, ""bias_coordinate"": 0.0007928472163332024}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.24490320930426138, ""bias_coordinate"": 0.0007492664932210122}}"
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2,S1,linearized_gaussian,combined,center_fNIRS,O2,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4513658285976964, ""bias_coordinate"": -0.007884430358758607}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.06030625231784939, ""bias_coordinate"": 0.00046141650278401405}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.2442289641174516, ""bias_coordinate"": 0.0009469878318675503}}"
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2_pointwise,S1,linearized_gaussian,combined,center_fNIRS,O2_pointwise,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.6019644075746683, ""bias_coordinate"": 0.00207831923681699}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.6857446237704962, ""bias_coordinate"": 0.01884529895186078}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.5284060770790462, ""bias_coordinate"": -0.0026064586010194385}}"
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2_mean_only,S1,linearized_gaussian,combined,center_fNIRS,O2_mean_only,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.623523389359207, ""bias_coordinate"": -0.028055975566085006}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.2991858545601281, ""bias_coordinate"": 0.011584736336320614}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.3069106587699102, ""bias_coordinate"": -0.0022548252619672966}}"
v3__S1__linearized_gaussian__0__combined__whole_EEG__O0,S1,linearized_gaussian,combined,whole_EEG,O0,0,,,,,"{""EEG"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.0845818727507318}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.7643310562395584, ""bias_coordinate"": 0.02369167917360143}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.6027844176460766, ""bias_coordinate"": -0.0032945621138442504}}"
