task_id,family,solver,fit_calls_lower_bound,optimizer_starts,optimizer_evaluations,interrupted_call_possible,reused_task,elapsed_seconds,peak_rss_bytes
v3__S1__linearized_gaussian__2__combined__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.3371309990179725,684650496
v3__S1__linearized_gaussian__2__combined__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,26,False,,3.0273234079941176,686628864
v3__S1__linearized_gaussian__2__combined__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.8815930960117839,684650496
v3__S1__linearized_gaussian__2__combined__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.7617519440245815,687251456
v3__S1__linearized_gaussian__2__combined__whole_fNIRS__O2,S1,O2,1,2,15,False,,2.0851236329763196,684650496
v3__S1__linearized_gaussian__2__combined__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,25,False,,2.8078863630071282,684650496
v3__S1__linearized_gaussian__2__combined__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,16,False,,2.0698033070075326,684650496
v3__S1__linearized_gaussian__3__model__full__O0,S1,O0,1,0,0,False,,0.35586458299076185,684650496
v3__S1__linearized_gaussian__3__model__full__O1,S1,O1,1,0,0,False,,0.26456801494350657,687251456
v3__S1__linearized_gaussian__3__model__full__O2,S1,O2,1,2,18,False,,1.8954708030214533,684650496
v3__S1__linearized_gaussian__3__model__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7878888879786246,684650496
v3__S1__linearized_gaussian__3__model__full__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.8368382609914988,687251456
v3__S1__linearized_gaussian__3__model__center_EEG__O0,S1,O0,1,0,0,False,,0.3033770609763451,684650496
v3__S1__linearized_gaussian__3__model__center_EEG__O1,S1,O1,1,0,0,False,,0.20396637200610712,684908544
v3__S1__linearized_gaussian__3__model__center_EEG__O2,S1,O2,1,2,18,False,,2.020007775980048,685056000
v3__S1__linearized_gaussian__3__model__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7471211159718223,684908544
v3__S1__linearized_gaussian__3__model__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.538343922002241,684650496
v3__S1__linearized_gaussian__3__model__center_fNIRS__O0,S1,O0,1,0,0,False,,0.27444660797482356,689205248
v3__S1__linearized_gaussian__3__model__center_fNIRS__O1,S1,O1,1,0,0,False,,0.20032544597052038,684650496
v3__S1__linearized_gaussian__3__model__center_fNIRS__O2,S1,O2,1,2,18,False,,1.7033019039663486,689205248
v3__S1__linearized_gaussian__3__model__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7601340020191856,684650496
v3__S1__linearized_gaussian__3__model__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.7434804200311191,684650496
v3__S1__linearized_gaussian__3__model__whole_EEG__O0,S1,O0,1,0,0,False,,0.28338185203028843,684650496
v3__S1__linearized_gaussian__3__model__whole_EEG__O1,S1,O1,1,0,0,False,,0.1794747129897587,684650496
v3__S1__linearized_gaussian__3__model__whole_EEG__O2,S1,O2,1,2,18,False,,1.6815931440214626,684650496
v3__S1__linearized_gaussian__3__model__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7423575000138953,684650496
v3__S1__linearized_gaussian__3__model__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.727115852991119,684650496
v3__S1__linearized_gaussian__3__model__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.26890608004759997,684650496
v3__S1__linearized_gaussian__3__model__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.14570861699758098,684650496
v3__S1__linearized_gaussian__3__model__whole_fNIRS__O2,S1,O2,1,2,19,False,,1.7646237630397081,684650496
v3__S1__linearized_gaussian__3__model__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,19,False,,1.7530453670187853,684650496
v3__S1__linearized_gaussian__3__model__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,19,False,,1.6827053769957274,684650496
v3__S1__linearized_gaussian__3__combined__full__O0,S1,O0,1,0,0,False,,0.957808108010795,684650496
v3__S1__linearized_gaussian__3__combined__full__O1,S1,O1,1,0,0,False,,0.8714259099797346,686628864
v3__S1__linearized_gaussian__3__combined__full__O2,S1,O2,1,2,18,False,,2.473389726015739,687251456
v3__S1__linearized_gaussian__3__combined__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.1660797970253043,684650496
v3__S1__linearized_gaussian__3__combined__full__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.4867623970494606,684650496
v3__S1__linearized_gaussian__3__combined__center_EEG__O0,S1,O0,1,0,0,False,,0.9288870329619385,684908544
v3__S1__linearized_gaussian__3__combined__center_EEG__O1,S1,O1,1,0,0,False,,0.9170383629971184,685056000
v3__S1__linearized_gaussian__3__combined__center_EEG__O2,S1,O2,1,2,18,False,,2.2374964780174196,689205248
v3__S1__linearized_gaussian__3__combined__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.354198958957568,684650496
v3__S1__linearized_gaussian__3__combined__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.1745201500016265,684650496
v3__S1__linearized_gaussian__3__combined__center_fNIRS__O0,S1,O0,1,0,0,False,,0.9049874640186317,686628864
v3__S1__linearized_gaussian__3__combined__center_fNIRS__O1,S1,O1,1,0,0,False,,0.8106547890347429,684650496
v3__S1__linearized_gaussian__3__combined__center_fNIRS__O2,S1,O2,1,2,18,False,,2.325626231962815,684650496
v3__S1__linearized_gaussian__3__combined__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.3807269189856015,684650496
v3__S1__linearized_gaussian__3__combined__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.4119957070215605,684650496
v3__S1__linearized_gaussian__3__combined__whole_EEG__O0,S1,O0,1,0,0,False,,0.8914920300012454,684908544
v3__S1__linearized_gaussian__3__combined__whole_EEG__O1,S1,O1,1,0,0,False,,0.7550489190034568,685056000
v3__S1__linearized_gaussian__3__combined__whole_EEG__O2,S1,O2,1,2,18,False,,2.37767407897627,684650496
v3__S1__linearized_gaussian__3__combined__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.3503003700170666,684650496
v3__S1__linearized_gaussian__3__combined__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,66,False,,6.352095960988663,684650496
v3__S1__linearized_gaussian__3__combined__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.876630047976505,684650496
v3__S1__linearized_gaussian__3__combined__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.7467872309498489,686628864
v3__S1__linearized_gaussian__3__combined__whole_fNIRS__O2,S1,O2,1,2,15,False,,1.9439656370086595,685056000
v3__S1__linearized_gaussian__3__combined__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,16,False,,2.0888852269854397,684908544
v3__S1__linearized_gaussian__3__combined__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,15,False,,2.1674036890035495,684650496
v3__S1__linearized_gaussian__4__model__full__O0,S1,O0,1,0,0,False,,0.3594587800325826,687251456
v3__S1__linearized_gaussian__4__model__full__O1,S1,O1,1,0,0,False,,0.26042847702046856,686628864
v3__S1__linearized_gaussian__4__model__full__O2,S1,O2,1,2,18,False,,1.7958776430459693,684650496
v3__S1__linearized_gaussian__4__model__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.8578002929571085,686628864
v3__S1__linearized_gaussian__4__model__full__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.7368527360376902,689205248
v3__S1__linearized_gaussian__4__model__center_EEG__O0,S1,O0,1,0,0,False,,0.31217536999611184,687251456
v3__S1__linearized_gaussian__4__model__center_EEG__O1,S1,O1,1,0,0,False,,0.2069266369799152,684650496
v3__S1__linearized_gaussian__4__model__center_EEG__O2,S1,O2,1,2,18,False,,1.84252230997663,687251456
v3__S1__linearized_gaussian__4__model__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7636197300162166,684650496
v3__S1__linearized_gaussian__4__model__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.7329938679467887,684650496
v3__S1__linearized_gaussian__4__model__center_fNIRS__O0,S1,O0,1,0,0,False,,0.30349461804144084,684650496
v3__S1__linearized_gaussian__4__model__center_fNIRS__O1,S1,O1,1,0,0,False,,0.20128803997067735,684650496
v3__S1__linearized_gaussian__4__model__center_fNIRS__O2,S1,O2,1,2,18,False,,1.8088955810526386,684650496
v3__S1__linearized_gaussian__4__model__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.8169172710040584,684650496
v3__S1__linearized_gaussian__4__model__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.8191851690062322,684650496
v3__S1__linearized_gaussian__4__model__whole_EEG__O0,S1,O0,1,0,0,False,,0.28109187696827576,684650496
v3__S1__linearized_gaussian__4__model__whole_EEG__O1,S1,O1,1,0,0,False,,0.17134158196859062,684650496
v3__S1__linearized_gaussian__4__model__whole_EEG__O2,S1,O2,1,2,18,False,,1.9386859209625982,685056000
v3__S1__linearized_gaussian__4__model__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.753596064983867,684650496
v3__S1__linearized_gaussian__4__model__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.711809060012456,684908544
v3__S1__linearized_gaussian__4__model__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.2706036900053732,684650496
v3__S1__linearized_gaussian__4__model__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.14712506998330355,684650496
v3__S1__linearized_gaussian__4__model__whole_fNIRS__O2,S1,O2,1,2,14,False,,1.244904802995734,684650496
v3__S1__linearized_gaussian__4__model__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,14,False,,1.3456535100121982,684650496
v3__S1__linearized_gaussian__4__model__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,14,False,,1.319724255008623,684650496
v3__S1__linearized_gaussian__4__combined__full__O0,S1,O0,1,0,0,False,,1.0041048330022022,689205248
