stream,condition,parity,candidate,mode,expected,completed,r_nrmse,r_coverage95,r_mean_interval_width,clean_EEG_nrmse,clean_EEG_coverage95,clean_EEG_mean_interval_width,clean_HbO_nrmse,clean_HbO_coverage95,clean_HbO_mean_interval_width,clean_HbR_nrmse,clean_HbR_coverage95,clean_HbR_mean_interval_width,mean_log_likelihood
discovery,true_g,0,g-0.6_w0.25,EEG_only,8,8,0.6518462380540784,0.931640625,0.17223438275231645,0.6518462380540784,0.931640625,0.17223438275231645,0.8601636004630607,0.625,0.06617440745238957,0.8343126305782911,0.646484375,0.020470191798800736,46.18515592339894
discovery,true_g,0,g-0.6_w0.25,fNIRS_only,8,8,0.834149769415627,0.88671875,0.19729390965420915,0.834149769415627,0.88671875,0.19729390965420915,0.24471006159346212,0.931640625,0.03425214477445969,0.2569152366977713,0.912109375,0.011416066745497678,283.22456341534144
discovery,true_g,1,g-0.6_w0.25,full,8,8,1.1699695781523272,0.640625,0.15374773824651725,1.1699695781523272,0.640625,0.15374773824651725,0.2159259229623564,0.841796875,0.03327585173157384,0.2562029930012715,0.876953125,0.011637165194671603,298.78393690390305
discovery,true_g,1,g-0.6_w0.25,EEG_only,8,8,0.6730391794111776,0.923828125,0.17146327569928915,0.6730391794111776,0.923828125,0.17146327569928915,0.9918910043984385,0.48046875,0.0673250800386371,0.9693036746598299,0.591796875,0.02091369054796915,48.296745333143754
discovery,true_g,1,g-0.6_w0.25,fNIRS_only,8,8,1.4334507227618905,0.6640625,0.19856424743401083,1.4334507227618905,0.6640625,0.19856424743401083,0.20211286647313698,0.888671875,0.03467545275065535,0.21609049723170953,0.943359375,0.011746469932548131,276.4816446115393
discovery,true_g,0,g-0.6_w0.5,full,8,8,0.7054204837158435,0.853515625,0.14862519117008194,0.7054204837158435,0.853515625,0.14862519117008194,0.25224746116840135,0.919921875,0.03279154113402266,0.2501782524671613,0.923828125,0.011071751965441835,327.3753605646277
discovery,true_g,0,g-0.6_w0.5,EEG_only,8,8,0.6518462380540784,0.931640625,0.1722343827523165,0.6518462380540784,0.931640625,0.1722343827523165,0.9340777904551851,0.62890625,0.0680407809367164,0.8934366004995907,0.623046875,0.02063332919750368,46.18515592339893
discovery,true_g,0,g-0.6_w0.5,fNIRS_only,8,8,0.9030163252250527,0.83203125,0.18465305862630083,0.9030163252250527,0.83203125,0.18465305862630083,0.2494213597320487,0.943359375,0.036078966639872756,0.2598571668070594,0.91015625,0.011667555119181766,283.2456688447028
discovery,true_g,1,g-0.6_w0.5,full,8,8,1.2406032223425132,0.646484375,0.14988160178572002,1.2406032223425132,0.646484375,0.14988160178572002,0.22756001727582503,0.861328125,0.035143355032985185,0.2522174106071678,0.8828125,0.011947855420952513,294.6028865155025
discovery,true_g,1,g-0.6_w0.5,EEG_only,8,8,0.6730391794111774,0.923828125,0.1714632756992892,0.6730391794111774,0.923828125,0.1714632756992892,1.0085781063051236,0.505859375,0.06913854085947581,0.979935438676097,0.607421875,0.021080965361713618,48.29674533314375
